year,published_total,scored_total,missing_cvss,critical,high,medium,low,none
1999,320,0,320,0,0,0,0,0
2000,1437,0,1437,0,0,0,0,0
2001,1323,0,1323,0,0,0,0,0
2002,1690,0,1690,0,0,0,0,0
2003,1223,0,1223,0,0,0,0,0
2004,1612,0,1612,0,0,0,0,0
2005,6708,0,6708,0,0,0,0,0
2006,6885,0,6885,0,0,0,0,0
2007,7211,0,7211,0,0,0,0,0
2008,5673,0,5673,0,0,0,0,0
2009,5732,0,5732,0,0,0,0,0
2010,4639,1,4638,0,1,0,0,0
2011,4150,0,4150,0,0,0,0,0
2012,5288,1,5287,0,0,1,0,0
2013,5187,3,5184,2,0,1,0,0
2014,7928,0,7928,0,0,0,0,0
2015,6494,0,6494,0,0,0,0,0
2016,6457,16,6441,2,13,1,0,0
2017,14642,214,14428,41,135,33,5,0
2018,16510,1553,14957,127,546,780,100,0
2019,17308,2412,14896,158,929,1217,108,0
2020,18363,5732,12631,443,2200,2781,308,0
2021,20177,8040,12137,677,3433,3444,486,0
2022,25000,10681,14319,932,4074,4799,874,2
2023,28848,17162,11686,1350,5802,8729,1277,4
2024,39936,25397,14539,1855,8782,13208,1543,9
2025,48174,29070,19104,1827,10917,14419,1903,4
2026,2762,1763,999,150,709,827,76,1
